Timestamp,Machine_ID,Product_ID,Lot_Number,Cycle_Time_Seconds,Status,Error_Code,Operator_ID
2025-09-05 08:00:35,M056,111111111,MI250905A01,83.5,Complete,N/A,OP7780
2025-09-05 08:00:42,M051,111111111,MI250905A01,83.55,Complete,N/A,OP9326
2025-09-05 08:01:11,M053,111111111,MI250905A01,83.58,Complete,N/A,OP1721
2025-09-05 08:01:59,M056,111111111,MI250905A01,83.51,Complete,N/A,OP7780
2025-09-05 08:02:03,M054,111111111,MI250905A01,83.57,Complete,N/A,OP6397
2025-09-05 08:02:04,M055,111111111,MI250905A01,83.68,Complete,N/A,OP6777
2025-09-05 08:02:06,M051,111111111,MI250905A01,83.68,Complete,N/A,OP9326
2025-09-05 08:02:12,M052,111111111,MI250905A01,83.39,Complete,N/A,OP4935
2025-09-05 08:02:34,M053,111111111,MI250905A01,83.37,Complete,N/A,OP1721
2025-09-05 08:03:22,M056,111111111,MI250905A01,83.38,Complete,N/A,OP7780
2025-09-05 08:03:27,M054,111111111,MI250905A01,83.53,Complete,N/A,OP6397
2025-09-05 08:03:28,M055,111111111,MI250905A01,83.58,Complete,N/A,OP6777
2025-09-05 08:03:29,M051,111111111,MI250905A01,83.21,Complete,N/A,OP9326
2025-09-05 08:03:36,M052,111111111,MI250905A01,83.55,Complete,N/A,OP4935
2025-09-05 08:03:58,M053,111111111,MI250905A01,83.27,Complete,N/A,OP1721
2025-09-05 08:04:46,M056,111111111,MI250905A01,83.29,Complete,N/A,OP7780
2025-09-05 08:04:51,M054,111111111,MI250905A01,83.18,Complete,N/A,OP6397
2025-09-05 08:04:52,M055,111111111,MI250905A01,83.54,Complete,N/A,OP6777
2025-09-05 08:04:53,M051,111111111,MI250905A01,83.27,Complete,N/A,OP9326
2025-09-05 08:04:59,M052,111111111,MI250905A01,83.2,Complete,N/A,OP4935
2025-09-05 08:05:21,M053,111111111,MI250905A01,83.44,Complete,N/A,OP1721
2025-09-05 08:06:09,M056,111111111,MI250905A01,83.71,Complete,N/A,OP7780
2025-09-05 08:06:14,M054,111111111,MI250905A01,37.21,Error,E001,OP6397
2025-09-05 08:06:15,M055,111111111,MI250905A01,83.34,Complete,N/A,OP6777
2025-09-05 08:06:16,M051,111111111,MI250905A01,83.71,Complete,N/A,OP9326
